Temperature,Humidity,MQ135_PPM,Heart_Rate,SpO2,GPS_Lat,GPS_Lon,Risk_Level
35.2,63.0,88.1,92,94,23.795472,86.430077,1
31.7,69.2,54.5,105,94,23.795496,86.430805,1
31.2,69.1,93.2,101,94,23.794967,86.429511,1
27.6,39.3,30.6,81,96,23.796311,86.430932,0
39.2,90.8,353.3,122,90,23.796364,86.431089,2
32.6,67.8,129.8,90,94,23.794705,86.430968,1
31.0,74.7,145.4,95,94,23.795877,86.429487,1
33.6,66.3,91.6,103,93,23.795982,86.429478,1
31.3,70.0,132.9,90,93,23.794745,86.429524,1
37.7,83.6,371.1,133,91,23.795057,86.430582,2
25.3,42.8,20.5,60,96,23.796231,86.430808,0
20.2,55.3,48.0,80,98,23.794979,86.430078,0
30.1,68.8,100.5,96,94,23.796097,86.431164,1
53.7,102.7,672.5,150,74,23.795023,86.429575,3
26.3,52.9,45.4,80,97,23.795815,86.430038,0
21.7,46.4,37.8,88,98,23.79627,86.431297,0
42.8,92.5,755.7,163,82,23.795669,86.430972,3
38.2,79.8,213.1,138,88,23.796095,86.430615,2
33.6,75.0,56.8,108,94,23.796582,86.431112,1
34.3,91.0,324.8,128,90,23.79664,86.430301,2
25.1,50.9,28.9,84,98,23.795914,86.4298,0
26.5,54.9,12.0,76,96,23.795424,86.429645,0
32.1,61.1,88.9,99,94,23.796207,86.42991,1
40.4,77.1,316.1,122,88,23.794946,86.429468,2
34.0,71.6,134.6,94,93,23.79543,86.429918,1
30.0,62.1,124.5,106,94,23.796693,86.430233,1
23.2,50.8,45.4,81,98,23.795056,86.430566,0
52.9,92.8,637.1,143,75,23.79653,86.430602,3
29.6,66.1,127.0,104,93,23.796035,86.429746,1
28.8,49.7,35.4,87,97,23.796319,86.430446,0
32.4,64.0,98.4,90,94,23.794758,86.431133,1
34.0,64.2,104.7,103,94,23.794705,86.431162,1
52.2,97.2,553.4,143,76,23.796251,86.430164,3
29.5,43.3,29.2,67,96,23.795169,86.430351,0
31.0,64.9,70.0,101,94,23.796516,86.429981,1
23.7,53.7,15.0,70,98,23.796115,86.430814,0
30.4,65.4,95.6,96,94,23.795425,86.430592,1
29.9,71.9,143.7,92,93,23.796499,86.430071,1
20.8,56.6,14.4,76,97,23.795414,86.429708,0
26.4,40.1,32.1,70,97,23.795433,86.429572,0
20.7,42.1,45.0,67,98,23.796447,86.430675,0
30.3,57.0,64.7,103,94,23.795438,86.431006,1
19.3,43.1,46.5,62,99,23.796248,86.430786,0
30.1,67.1,107.2,91,94,23.795006,86.430882,1
39.7,85.9,241.4,113,91,23.795924,86.429487,2
49.7,90.4,613.8,172,72,23.796558,86.429898,3
33.7,69.5,111.0,100,94,23.795049,86.429711,1
35.1,76.3,243.0,132,89,23.794877,86.429584,2
31.5,75.7,51.6,97,94,23.796103,86.431288,1
28.5,51.4,36.5,72,96,23.794851,86.429414,0
42.1,78.0,364.1,116,89,23.795138,86.430618,2
26.7,46.8,38.2,68,96,23.796629,86.431217,0
33.6,67.3,104.5,97,94,23.795967,86.430781,1
20.8,44.6,14.2,62,97,23.794986,86.43096,0
38.6,80.3,246.3,111,91,23.79615,86.430245,2
30.3,71.1,52.5,107,94,23.795358,86.42994,1
37.3,89.6,174.0,123,88,23.796142,86.430165,2
21.8,41.7,10.6,65,96,23.795891,86.429712,0
46.3,92.4,819.5,154,73,23.795498,86.43056,3
48.1,91.4,659.5,142,77,23.794851,86.430708,3
27.2,50.9,38.5,86,99,23.795233,86.430481,0
48.8,90.4,798.1,152,83,23.795041,86.429433,3
28.0,52.4,10.7,67,97,23.795267,86.43092,0
54.6,97.5,409.4,149,76,23.795841,86.430339,3
39.3,84.7,252.3,125,88,23.795767,86.431321,2
25.4,58.2,42.0,71,99,23.795197,86.430792,0
39.5,77.0,383.3,132,89,23.796313,86.429472,2
